Last Name,First Name,VIAF,Wikipedia Entry,"Born/
Established",Died,Works in HTRC?,Pos.(s) in Chronogram,,
Aalto,Alvar,,https://en.wikipedia.org/wiki/Alvar_Aalto,2/3/1898,5/11/1976,Yes,"1926, 1932,
1960",,
Adams,R.,,,,,No,1993,,
Alberts,Anton,,https://en.wikipedia.org/wiki/Anton_Alberts_(architect),7/6/1927,8/16/1999,No,1980,,
Albini,Franco,,https://en.wikipedia.org/wiki/Franco_Albini,10/17/1905,11/1/1977,No,1959,,7
Alexander,Christopher,,https://en.wikipedia.org/wiki/Christopher_Alexander,10/4/1936,3/17/2022,Yes,1980,,
Alsop,William,,https://en.wikipedia.org/wiki/Will_Alsop,12/12/1947,5/12/2018,No,1996,,
Ando,Tadao,,https://en.wikipedia.org/wiki/Tadao_Ando,9/13/1941,,Yes,1984,,
Andreu,Paul,,https://en.wikipedia.org/wiki/Paul_Andreu,7/10/1938,10/11/2018,Yes,1997,,
Arad,Ron,,https://en.wikipedia.org/wiki/Ron_Arad_(industrial_designer),4/24/1951,,Yes,1999,,
ARAU,,,,,,No,1976,,
ARM,,,https://armarchitecture.com.au/about/ https://en.wikipedia.org/wiki/ARM_Architecture_(company),1988,,No,1992,,
Arquitectonica,,,https://arquitectonica.com/ https://en.wikipedia.org/wiki/Arquitectonica,1977,,No,"1980, 1987",,
Arups,,,https://en.wikipedia.org/wiki/Arup_Group,1946,,No,"1960, 1975",,
Ashbee,Charles Robert,,https://en.wikipedia.org/wiki/Charles_Robert_Ashbee,5/17/1863,5/23/1942,No,1908,,
Asplund,Gunnar,,https://en.wikipedia.org/wiki/Gunnar_Asplund,9/22/1885,10/20/1940,No,1913,,
Aulenti,Gae,,https://en.wikipedia.org/wiki/Gae_Aulenti,12/4/1927,10/31/2012,No,1960,,
Bacon,Henry,,https://en.wikipedia.org/wiki/Henry_Bacon,11/28/1866,2/16/2024,Yes,1916,,
Badran,Rasem,,https://en.wikipedia.org/wiki/Rasem_Badran,1945,,No,1989,,
Bakema,Jaap,,https://en.wikipedia.org/wiki/Jaap_Bakema,3/8/1914,2/20/1981,No,1955,,
Baker,Herbert,,https://en.wikipedia.org/wiki/Herbert_Baker,6/9/1862,2/4/1946,Yes,1913,,
Balmond ,Cecil,,https://en.wikipedia.org/wiki/Cecil_Balmond,,,No,1997,,
Banham,Reyner,,https://en.wikipedia.org/wiki/Reyner_Banham,3/2/1922,3/19/1988,Yes,1978,,
Bartning,Otto,,https://en.wikipedia.org/wiki/Otto_Bartning,04/12/1883,02/20/1959,Yes,1925,,
Beeby,Thomas,,https://en.wikipedia.org/wiki/Thomas_H._Beeby,1941,,No,1985,,
Behnisch,Gunter,,https://en.wikipedia.org/wiki/G%C3%BCnter_Behnisch,6/12/1922,7/12/2010,No,"1982, 1995",,
Behrens,Peter,,https://en.wikipedia.org/wiki/Peter_Behrens,4/14/1868,2/27/1940,No,1907,,
Bel Geddes,Norman,,https://en.wikipedia.org/wiki/Norman_Bel_Geddes,4/27/1893,5/8/1958,Yes,1937,,
Belcher,John,,https://en.wikipedia.org/wiki/John_Belcher_(architect),7/10/1841,11/8/1913,Yes,1899,,
Belluschi,Pietro,,https://en.wikipedia.org/wiki/Pietro_Belluschi,8/18/1899,2/14/1994,Yes,1958,,
Benson,Gordon,,https://en.wikipedia.org/wiki/Benson_%26_Forsyth,10/5/1944,,No,1998,,
Berg,Max,,https://en.wikipedia.org/wiki/Max_Berg,4/17/1870,1/22/1947,No,1918,,
Berlage,Hendrik Petrus,,https://en.wikipedia.org/wiki/H._P._Berlage,2/21/1856,9/12/1934,No,1898,,
Bicknell,Julian,,https://en.wikipedia.org/wiki/Julian_Bicknell,2/23/1945,,No,1991,,
Blomfiled,Reginald,,https://en.wikipedia.org/wiki/Reginald_Blomfield,12/20/1856,12/27/1942,No,1910,,
Bofill,Ricardo,,https://en.wikipedia.org/wiki/Ricardo_Bofill,12/5/1939,1/14/2022,Yes,1982,,
Bohm,Dominikus,,https://en.wikipedia.org/wiki/Dominikus_B%C3%B6hm,10/23/1880,08/06/1955,No,1929,,
Böhm,Gottfried,,https://en.wikipedia.org/wiki/Gottfried_B%C3%B6hm,1/23/1920,6/9/2021,No,1968,,
Bolles+Wilson,,,https://bolles-wilson.com/,1980,,No,1997,,
Bonatz,Paul,,https://en.wikipedia.org/wiki/Paul_Bonatz,12/6/1877,12/20/1956,No,1910,,
Botta,Mario,,https://en.wikipedia.org/wiki/Mario_Botta,4/1/1943,,Yes,1988,,
Bournville,,,,,,No,1902,,
Breuer,Marcel,,https://en.wikipedia.org/wiki/Marcel_Breuer,5/21/1902,7/1/1981,Yes,1953,,
BROOKES,,,https://www.brookesarchitects.co.uk/,,,No,2002,,
Brydon,J.M.,,https://en.wikipedia.org/wiki/J._M._Brydon,1840,5/25/1901,No,1910,,
Burnet,John,,https://en.wikipedia.org/wiki/John_Burnet_(architect),9/27/1814,1/15/1901,,,,
Burnet,John James,,https://en.wikipedia.org/wiki/John_James_Burnet,5/31/1857,7/2/1938,No,1902,,
Burnham,Daniel,,https://en.wikipedia.org/wiki/Daniel_Burnham,9/4/1846,6/1/1912,Yes,1898,,
Byker,,,,,,No,1977,,
Calatrava,Santiago,,https://en.wikipedia.org/wiki/Santiago_Calatrava,7/28/1951,,Yes,1980,,
Chareau,Pierre,,https://en.wikipedia.org/wiki/Pierre_Chareau,8/4/1883,8/24/1950,No,1930,,
Chiattone,Mario,,https://www.encyclopedia.com/education/dictionaries-thesauruses-pictures-and-press-releases/chiattone-mario,1891,1957,No,1915,,
Ciriani,Henri,,https://en.wikipedia.org/wiki/Henri_Ciriani,12/30/1936,,No,1999,,
Clubs,,,,,,No,1996,,
Coates,Nigel,,https://en.wikipedia.org/wiki/Nigel_Coates_(architect),1949,,No,1997,,
