Item No,Last Name,First Name,VIAF,Wikipedia Entry,Born,Died,Works in HTRC?,Biological,Pos.(s) in Chronogram,Getty A&A,Unnamed: 11,Item Type
1,Aalto,Alvar,,https://en.wikipedia.org/wiki/Alvar_Aalto,2/3/1898,5/11/76,Yes,0,"1926, 1932,
1960",,,
2,Adams,R.,,,,,No,6,1993,,,person
3,Alberts,Anton,,https://en.wikipedia.org/wiki/Anton_Alberts_(architect),7/6/27,8/16/99,No,14,1980,,,
4,Albini,Franco,,https://en.wikipedia.org/wiki/Franco_Albini,10/17/05,11/1/77,No,2,1959,,,
5,Alexander,Christopher,,https://en.wikipedia.org/wiki/Christopher_Alexander,10/4/36,3/17/22,Yes,5,1980,,,
6,Alsop,William,,https://en.wikipedia.org/wiki/Will_Alsop,12/12/47,5/12/18,No,78,1996,,,
7,Ando,Tadao,,https://en.wikipedia.org/wiki/Tadao_Ando,9/13/41,,Yes,2,1984,,,
8,Andreu,Paul,,https://en.wikipedia.org/wiki/Paul_Andreu,7/10/38,10/11/18,Yes,5,1997,,,
9,Arad,Ron,,https://en.wikipedia.org/wiki/Ron_Arad_(industrial_designer),4/24/51,,Yes,78,1999,,,
10,ARAU,,,,,,No,3,1976,,,firm
11,ARM,,,https://armarchitecture.com.au/about/ https://en.wikipedia.org/wiki/ARM_Architecture_(company),1988,,No,3,1992,,,firm
12,Arquitectonica,,,https://arquitectonica.com/ https://en.wikipedia.org/wiki/Arquitectonica,1977,,No,2345,"1980, 1987",,,
13,Arups,,,https://en.wikipedia.org/wiki/Arup_Group,1946,,No,3,"1960, 1975",,,
14,Ashbee,Charles Robert,,https://en.wikipedia.org/wiki/Charles_Robert_Ashbee,5/17/1863,5/23/42,No,45,1908,,,
15,Asplund,Gunnar,,https://en.wikipedia.org/wiki/Gunnar_Asplund,9/22/1885,10/20/40,No,34,1913,,,
16,Aulenti,Gae,,https://en.wikipedia.org/wiki/Gae_Aulenti,12/4/27,10/31/12,No,0,1960,,,
17,Bacon,Henry,,https://en.wikipedia.org/wiki/Henry_Bacon,11/28/1866,2/16/24,Yes,4,1916,,,
18,Badran,Rasem,,https://en.wikipedia.org/wiki/Rasem_Badran,1945,,No,4,1989,,,
19,Bakema,Jaap,,https://en.wikipedia.org/wiki/Jaap_Bakema,3/8/14,2/20/81,No,3,1955,,,
20,Baker,Herbert,,https://en.wikipedia.org/wiki/Herbert_Baker,6/9/1862,2/4/46,Yes,4,1913,,,
21,Balmond ,Cecil,,https://en.wikipedia.org/wiki/Cecil_Balmond,,,No,5,1997,,,
22,Banham,Reyner,,https://en.wikipedia.org/wiki/Reyner_Banham,3/2/22,3/19/88,Yes,66,1978,,,
23,Bartning,Otto,,https://en.wikipedia.org/wiki/Otto_Bartning,04/12/1883,2/20/59,Yes,7,1925,,,
24,Beeby,Thomas,,https://en.wikipedia.org/wiki/Thomas_H._Beeby,1941,,No,9,1985,,,
25,Behnisch,Gunter,,https://en.wikipedia.org/wiki/G%C3%BCnter_Behnisch,6/12/22,7/12/10,No,33,"1982, 1995",,,
26,Behrens,Peter,,https://en.wikipedia.org/wiki/Peter_Behrens,4/14/1868,2/27/40,No,6,1907,,,
27,Bel Geddes,Norman,,https://en.wikipedia.org/wiki/Norman_Bel_Geddes,4/27/1893,5/8/58,Yes,8,1937,,,
28,Belcher,John,,https://en.wikipedia.org/wiki/John_Belcher_(architect),7/10/1841,11/8/13,Yes,2,1899,,,person
29,Belluschi,Pietro,,https://en.wikipedia.org/wiki/Pietro_Belluschi,8/18/1899,2/14/94,Yes,3,1958,,,
30,Benson,Gordon,,https://en.wikipedia.org/wiki/Benson_%26_Forsyth,10/5/44,,No,,1998,,,
31,Berg,Max,,https://en.wikipedia.org/wiki/Max_Berg,4/17/1870,1/22/47,No,,1918,,,
32,Berlage,Hendrik Petrus,http://viaf.org/viaf/59236068,https://en.wikipedia.org/wiki/H._P._Berlage,2/21/1856,9/12/34,No,,1898,,,
33,Bicknell,Julian,,https://en.wikipedia.org/wiki/Julian_Bicknell,2/23/45,,No,345,1991,,,
34,Blomfiled,Reginald,,https://en.wikipedia.org/wiki/Reginald_Blomfield,12/20/1856,12/27/42,No,6,1910,,,
35,Bofill,Ricardo,,https://en.wikipedia.org/wiki/Ricardo_Bofill,12/5/39,1/14/22,Yes,5,1982,,,
36,Bohm,Dominikus,,https://en.wikipedia.org/wiki/Dominikus_B%C3%B6hm,10/23/1880,8/6/55,No,,1929,,,
37,Böhm,Gottfried,,https://en.wikipedia.org/wiki/Gottfried_B%C3%B6hm,1/23/20,6/9/21,No,456,1968,,,
38,Bolles+Wilson,,,https://bolles-wilson.com/,1980,,No,,1997,,,
39,Bonatz,Paul,,https://en.wikipedia.org/wiki/Paul_Bonatz,12/6/1877,12/20/56,No,545,1910,,,
40,Botta,Mario,,https://en.wikipedia.org/wiki/Mario_Botta,4/1/43,,Yes,7,1988,,,
41,Bournville,,,,,,No,4,1902,,,
42,Breuer,Marcel,,https://en.wikipedia.org/wiki/Marcel_Breuer,5/21/02,7/1/81,Yes,5,1953,,,
43,BROOKES,,,https://www.brookesarchitects.co.uk/,,,No,4,2002,,,
44,Brydon,J.M.,,https://en.wikipedia.org/wiki/J._M._Brydon,1840,5/25/01,No,3,1910,,,
45,Burnet,John,,https://en.wikipedia.org/wiki/John_Burnet_(architect),9/27/1814,1/15/01,,,,,,
46,Burnet,John James,,https://en.wikipedia.org/wiki/John_James_Burnet,5/31/1857,7/2/38,No,565634,1902,,,
47,Burnham,Daniel,,https://en.wikipedia.org/wiki/Daniel_Burnham,9/4/1846,6/1/12,Yes,45,1898,,,person
48,Byker,,,,,,No,73,1977,,,
49,Calatrava,Santiago,,https://en.wikipedia.org/wiki/Santiago_Calatrava,7/28/51,,Yes,34,1980,,,
50,Chareau,Pierre,,https://en.wikipedia.org/wiki/Pierre_Chareau,8/4/1883,8/24/50,No,5,1930,,,
51,Chiattone,Mario,,https://www.encyclopedia.com/education/dictionaries-thesauruses-pictures-and-press-releases/chiattone-mario,1891,1957,No,3,1915,,,
52,Ciriani,Henri,,https://en.wikipedia.org/wiki/Henri_Ciriani,12/30/36,,No,345,1999,,,
53,Clubs,,,,,,No,3,1996,,,
54,Coates,Nigel,,https://en.wikipedia.org/wiki/Nigel_Coates_(architect),1949,,No,3,1997,,,
55,Correa,Charles,,https://en.wikipedia.org/wiki/Charles_Correa,9/1/30,6/16/15,Yes,8,1989,,,
56,Costa,Lúcio,,https://en.wikipedia.org/wiki/L%C3%BAcio_Costa,2/27/02,6/13/98,No,679,1954,,,
57,Cret,Paul Philippe,,https://en.wikipedia.org/wiki/Paul_Philippe_Cret,10/23/1876,9/8/45,No,45,1928,,,
58,Cumbernauld,,,,,,No,456,1965,,,
59,Czech Cubists,,,https://en.wikipedia.org/wiki/Czech_Cubism,1912-1914,,No,73,1911,,,
60,Darmstadt Mathildenhohe,,,https://whc.unesco.org/en/list/1614/,1899,,No,34,1907,,,
61,de Baudot,Anatole,,https://en.wikipedia.org/wiki/Anatole_de_Baudot,10/14/1834,2/28/15,No,3,1902,,,
62,De Carlo,Giancarlo,,https://en.wikipedia.org/wiki/Giancarlo_De_Carlo,12/12/19,6/4/05,Yes,3,1965,,,
63,de Finetti,Giuseppe,,https://it.wikipedia.org/wiki/Giuseppe_de_Finetti,3/5/1892,1/19/52,No,34567,1939,,,
64,de Klerk,Michel,,https://en.wikipedia.org/wiki/Michel_de_Klerk,11/24/1884,11/24/23,No,46,"1914, 1921",,,
65,Derrida,Jacques,,https://en.wikipedia.org/wiki/Jacques_Derrida,7/15/30,10/9/04,Yes,48,1988,,,
66,Dixon,Jeremy,,https://en.wikipedia.org/wiki/Jeremy_Dixon,5/31/39,,No,45,1998,,,
