item-no,pos-in-chrono,jencks-name,last-name,first-name,item-type,viaf-link,wikipedia-link,getty-link,born,died,works-in-htdl,unvrf-built-bio-comparisons,top-terms
1,1899,Lethaby,Lethaby,William,person,http://viaf.org/viaf/49308242,https://en.wikipedia.org/wiki/William_Lethaby,N/A,1/18/1857,7/17/1931,0,124,term1 term2 term3 term4 term5
2,1900,ARTS & CRAFTS,ARTS & CRAFTS,,movement,N/A,https://en.wikipedia.org/wiki/Arts_and_Crafts_movement,https://www.getty.edu/vow/AATFullDisplay?find=arts+crafts&logic=AND&note=&english=N&prev_page=1&subjectid=300266319,,,,6,term1 term2 term3 term4 term5
3,1898,Ricardo,Ricardo,Halsey,person,https://viaf.org/en/viaf/21992043,https://en.wikipedia.org/wiki/Halsey_Ricardo,N/A,8/6/1854,2/15/1928,,14,term1 term2 term3 term4 term5
4,1898,Berlage,Berlage,Hendrik Petrus,person,http://viaf.org/viaf/59236068,https://en.wikipedia.org/wiki/H._P._Berlage,N/A,2/21/1856,9/12/1934,0,0,term1 term2 term3 term4 term5
5,1899,Belcher,Belcher,John,person,http://viaf.org/viaf/23057212,https://en.wikipedia.org/wiki/John_Belcher_(architect),N/A,7/10/1841,11/8/1913,9999,5,term1 term2 term3 term4 term5
6,1900,Mckim MW,Mckim MW,,firm,http://viaf.org/viaf/121010936,"https://en.wikipedia.org/wiki/McKim,_Mead_%26_White",N/A,,,0,0,term1 term2 term3 term4 term5
7,1898,BURNHAM,Burnham,Daniel,person,http://viaf.org/viaf/73928913,https://en.wikipedia.org/wiki/Daniel_Burnham,N/A,9/4/1846,6/1/1912,9999,2,term1 term2 term3 term4 term5
8,1898,Guimard,Guimard,Hector,person,http://viaf.org/viaf/71400445,https://en.wikipedia.org/wiki/Hector_Guimard,N/A,3/10/1867,5/20/1942,0,0,term1 term2 term3 term4 term5
9,1898,Domenech,Domenech,Lluis,person,https://viaf.org/viaf/49316848,https://en.wikipedia.org/wiki/Llu%C3%ADs_Dom%C3%A8nech_i_Montaner,N/A,12/21/1850,12/27/1923,0,0,term1 term2 term3 term4 term5
10,1899,Endell,Endell,August,person,http://viaf.org/viaf/61711138,https://en.wikipedia.org/wiki/August_Endell,N/A,4/12/1871,4/13/1925,0,0,term1 term2 term3 term4 term5
11,1900,Sullivan,Sullivan,Louis,person,http://viaf.org/viaf/14805742,https://en.wikipedia.org/wiki/Louis_Sullivan,N/A,9/3/1856,4/14/1924,9999,3,term1 term2 term3 term4 term5
12,1902,de Baudot,de Baudot,Anatole,person,http://viaf.org/viaf/17356208,https://en.wikipedia.org/wiki/Anatole_de_Baudot,,10/14/1834,2/28/1915,0,0,term1 term2 term3 term4 term5
13,1899,Kotera,Kotera,Jan,person,http://viaf.org/viaf/69848397,https://en.wikipedia.org/wiki/Jan_Kot%C4%9Bra,N/A,12/18/1871,4/17/1923,0,0,term1 term2 term3 term4 term5
14,1900,Maillart,Maillart,Robert,person,http://viaf.org/viaf/35251528,https://en.wikipedia.org/wiki/Robert_Maillart,N/A,2/16/1872,4/5/1940,0,0,term1 term2 term3 term4 term5
15,1903,A.LOOS,Loos,Adolf,person,http://viaf.org/viaf/17225994,https://en.wikipedia.org/wiki/Adolf_Loos,N/A,12/10/1870,8/23/1933,0,0,term1 term2 term3 term4 term5
16,1905,ornament & crime,ornament & crime,,written work,http://viaf.org/viaf/192617461,https://en.wikipedia.org/wiki/Ornament_and_Crime,,,,,0,term1 term2 term3 term4 term5
17,1906,WERKBUND,WERKBUND,,movement,N/A,https://en.wikipedia.org/wiki/Deutscher_Werkbund,N/A,,,,4,term1 term2 term3 term4 term5
18,1907,Muthesius,Muthesius,Hermann,person,http://viaf.org/viaf/36994033,https://en.wikipedia.org/wiki/Hermann_Muthesius,,4/20/1861,10/29/1927,0,0,term1 term2 term3 term4 term5
19,1918,Berg,Berg,Max,person,http://viaf.org/viaf/67209074,https://en.wikipedia.org/wiki/Max_Berg,,4/17/1870,1/22/1947,0,0,term1 term2 term3 term4 term5
20,1921,Nervi,Nervi,Pier Luigi,person,http://viaf.org/viaf/71453417,https://en.wikipedia.org/wiki/Pier_Luigi_Nervi,,6/21/1891,1/9/1979,0,0,term1 term2 term3 term4 term5
21,1924,Le Ricolais,Le Ricolais,Robert,person,http://viaf.org/viaf/255267,https://en.wikipedia.org/wiki/Robert_Le_Ricolais,,10/30/1894,6/4/1977,0,0,term1 term2 term3 term4 term5
22,1925,Freyssinet,Freyssinet,Eugène,person,http://viaf.org/viaf/54279372,https://en.wikipedia.org/wiki/Eug%C3%A8ne_Freyssinet,,6/13/1879,6/8/1962,0,0,term1 term2 term3 term4 term5
23,1927,Ginzburg,Ginzburg,Moisei,person,http://viaf.org/viaf/36973011,https://en.wikipedia.org/wiki/Moisei_Ginzburg,,06/04/1892,1/7/1946,0,0,term1 term2 term3 term4 term5
24,1929,Fuller,Fuller,Buckminster,person,https://viaf.org/en/viaf/36898370,https://en.wikipedia.org/wiki/Buckminster_Fuller,,7/12/1895,7/1/1983,9999,9,term1 term2 term3 term4 term5
25,1932,Williams,Williams,William Carlos,person,http://viaf.org/viaf/29542054,https://en.wikipedia.org/wiki/William_Carlos_Williams,,9/17/1883,3/4/1963,9999,33,term1 term2 term3 term4 term5
26,1932,Stam,Stam,Mart,person,http://viaf.org/viaf/72195519,https://en.wikipedia.org/wiki/Mart_Stam,,8/5/1899,2/21/1986,0,0,term1 term2 term3 term4 term5
27,1931,Hilberseimer,Hilberseimer,Ludwig,person,http://viaf.org/viaf/24648931,https://en.wikipedia.org/wiki/Ludwig_Hilberseimer,,9/14/1885,5/6/1967,9999,8,term1 term2 term3 term4 term5
28,1930,H.Meyer,Meyer,Hannes,person,http://viaf.org/viaf/20472726,https://en.wikipedia.org/wiki/Hannes_Meyer,,11/18/1889,7/19/1954,0,0,term1 term2 term3 term4 term5
29,1930,Chareau,Chareau,Pierre,person,http://viaf.org/viaf/24610646,https://en.wikipedia.org/wiki/Pierre_Chareau,,8/4/1883,8/24/1950,0,0,term1 term2 term3 term4 term5
