item-no,pos-in-chrono,poss-names,jencks-name,last-name,first-name,item-type,viaf-link,wikipedia-link,getty-link,born,died,works-in-htdl,unvrf-built-bio-comparisons,top-terms,author,top-bio-keywords,top-bio-systems,n-bio-comparisons,top-built-keywords
103,1916.0,,Bacon,Bacon,Henry,person,https://viaf.org/en/viaf/96269248,https://en.wikipedia.org/wiki/Henry_Bacon,,11/28/1866,2/16/24,9999.0,,term1 term2 term3 term4 term5,,,,,
649,1905.0,,GARDEN CITIES,GARDEN CITIES,,,,,,,,,,,,,,,
648,1906.0,,LCCarchitects dept.,LCCarchitects dept.,,,,,,,,,,,,,,,
647,1903.0,,Bedford Park,Bedford Park,,,,,,,,,,,,,,,
646,1927.0,,radio,radio,,,,,,,,,,,,,,,
645,1923.0,,automobile,automobile,,,,,,,,,,,,,,,
644,1922.0,,NEP Eclectic,NEP Eclectic,,,,,,,,,,,,,,,
643,1922.0,,Vernacular,Vernacular,,,,,,,,,,,,,,,
642,1921.0,,FOLK,FOLK,,,,,,,,,,,,,,,
641,1928.0,,WHEATLEY ACT,WHEATLEY ACT,,,,,,,,,,,,,,,
640,1930.0,,Communal Housing,Communal Housing,,,,,,,,,,,,,,,
639,1930.0,,Linear Cities,Linear Cities,,,,,,,,,,,,,,,
638,1934.0,,REVIVAL,REVIVAL,,,,,,,,,,,,,,,
637,1935.0,,barlow report,barlow report,,,,,,,,,,,,,,,
636,1935.0,,Holc,Holc,,,,,,,,,,,,,,,
635,1935.0,,TRADITIONAL,TRADITIONAL,,,,,,,,,,,,,,,
634,1931.0,,skyscraper,skyscraper,,,,,,,,,,,,,,,
633,1935.0,,TV,TV,,,,,,,,,,,,,,,
632,1939.0,,jets,jets,,,,,,,,,,,,,,,
631,1937.0,,washing machines,washing machines,,,,,,,,,,,,,,,
630,1939.0,,greenbelt,greenbelt,,,,,,,,,,,,,,,
629,1939.0,,TCPA,TCPA,,,,,,,,,,,,,,,
628,1942.0,,PLASTICS,PLASTICS,,,,,,,,,,,,,,,
627,1942.0,,defense housing,defense housing,,,,,,,,,,,,,,,
626,1940.0,,Broadace City,Broadace City,,,,,,,,,,,,,,,
625,1940.0,,USHA,USHA,,,,,,,,,,,,,,,
624,1939.0,,HYBRID,HYBRID,,,,,,,,,,,,,,,
623,1947.0,,New Towns Marks 1,New Towns Marks 1,,,,,,,,,,,,,,,
622,1948.0,,WAR MINIMAL,WAR MINIMAL,,,,,,,,,,,,,,,
621,1948.0,,Hetfordshire Schools,Hetfordshire Schools,,,,,,,,,,,,,,,
620,1947.0,,PHA,PHA,,,,,,,,,,,,,,,
619,1947.0,,HHFA,HHFA,,,,,,,,,,,,,,,
618,1955.0,,air conditioning packs,air conditioning packs,,,,,,,,,,,,,,,
617,1960.0,,transistors,transistors,,,,,,,,,,,,,,,
616,1958.0,,Russian Pre-fab,Russian Pre-fab,,,,,,,,,,,,,,,
